mmsi,split,kind
1,Training,Purse seine
201851,Training,Longliner
500430,Training,Longliner
773000,Test,Purse seine
23361900,Training,Purse seine
24022380,Training,Purse seine
24593300,Training,Trawler
36764000,Training,Purse seine
111111110,Training,Cargo/Tanker
111111111,Training,Purse seine
123450020,Test,Purse seine
123450800,Training,Purse seine
123456789,Test,Purse seine
203617400,Training,Passenger
203674400,Training,Passenger
203715400,Training,Passenger
204211000,Training,Longliner
204212000,Test,Longliner
204225000,Test,Longliner
204228000,Training,Longliner
204233000,Training,Longliner
204235000,Training,Longliner
204244000,Training,Trawler
204245000,Training,Purse seine
204248000,Training,Purse seine
204257000,Training,Purse seine
204260000,Test,Trawler
204261000,Training,Purse seine
204811000,Training,Longliner
204813000,Training,Longliner
204814000,Training,Longliner
204815000,Training,Longliner
204820000,Training,Trawler
204848000,Training,Pots and traps
204856000,Training,Longliner
204862000,Training,Longliner
205001000,Training,Tug
205017000,Training,Trawler
205043000,Training,Passenger
205051000,Training,Tug
205057000,Training,Tug
205059000,Training,Trawler
205067000,Training,Tug
205074000,Test,Tug
205082000,Training,Tug
205106000,Training,Trawler
205155000,Training,Trawler
205161000,Training,Trawler
205170000,Test,Trawler
205172000,Training,Tug
205177000,Training,Tug
205181000,Training,Tug
205188000,Training,Tug
205198000,Training,Trawler
205199000,Training,Tug
205203390,Training,Tug
205212390,Training,Cargo/Tanker
205233000,Training,Tug
205246000,Training,Trawler
205247090,Training,Cargo/Tanker
205256290,Training,Cargo/Tanker
205264290,Training,Tug
205267669,Test,Cargo/Tanker
205273990,Training,Tug
205281000,Training,Trawler
205284990,Training,Cargo/Tanker
205286790,Training,Cargo/Tanker
205289990,Training,Cargo/Tanker
205311190,Training,Cargo/Tanker
205325000,Training,Trawler
205325390,Training,Cargo/Tanker
205327000,Training,Trawler
205328000,Training,Trawler
205338490,Training,Cargo/Tanker
205340000,Training,Tug
205340890,Training,Cargo/Tanker
205346000,Training,Trawler
205349890,Training,Cargo/Tanker
205370590,Training,Cargo/Tanker
205372490,Training,Cargo/Tanker
205381890,Test,Cargo/Tanker
205390790,Test,Cargo/Tanker
205391990,Training,Cargo/Tanker
205396000,Training,Cargo/Tanker
205397000,Training,Cargo/Tanker
205400000,Test,Cargo/Tanker
205402790,Training,Cargo/Tanker
205415690,Training,Cargo/Tanker
205416000,Training,Tug
205417000,Training,Tug
205419690,Training,Cargo/Tanker
205421290,Training,Cargo/Tanker
205434190,Training,Cargo/Tanker
205454000,Training,Tug
205461000,Training,Cargo/Tanker
205462000,Test,Cargo/Tanker
205466000,Training,Tug
205476000,Training,Cargo/Tanker
205483000,Training,Tug
205484000,Training,Tug
205488290,Test,Cargo/Tanker
205495690,Training,Cargo/Tanker
205498490,Test,Cargo/Tanker
205502390,Test,Cargo/Tanker
205505590,Training,Cargo/Tanker
205509000,Training,Cargo/Tanker
205514990,Training,Cargo/Tanker
205515190,Test,Cargo/Tanker
205528000,Training,Salvage
205541000,Training,Tug
205545000,Training,Tug
205546000,Training,Tug
205558000,Training,Tug
205565000,Training,Tug
205586000,Training,Tug
205618000,Training,Tug
205626000,Training,Tug
205628000,Training,Tug
205636000,Training,Tug
205642000,Training,Tug
205644000,Training,Tug
207133000,Training,Cargo/Tanker
207293000,Training,Trawler
207822570,Test,Trawler
207827790,Training,Trawler
209005000,Test,Tug
209032000,Training,Cargo/Tanker
209051000,Training,Supply
209071000,Training,Tug
209086000,Training,Cargo/Tanker
209097000,Training,Tug
209121000,Training,Tug
209232000,Training,Longliner
209250000,Training,Cargo/Tanker
209268000,Training,Supply
209343000,Training,Supply
209355000,Training,Cargo/Tanker
209398000,Training,Tug
209409000,Training,Tug
209465000,Training,Longliner
209499000,Training,Trawler
209587000,Training,Supply
209618000,Training,Tug
209627000,Training,Cargo/Tanker
209669000,Training,Tug
209745000,Training,Cargo/Tanker
209792000,Test,Cargo/Tanker
209817000,Training,Cargo/Tanker
209840000,Training,Cargo/Tanker
209933000,Training,Cargo/Tanker
209981000,Training,Tug
210046000,Training,Tug
210122000,Training,Cargo/Tanker
210193000,Training,Longliner
210211000,Training,Tug
210291000,Training,Tug
210396000,Training,Tug
210401000,Training,Supply
210460000,Training,Longliner
210465000,Test,Tug
210479000,Test,Cargo/Tanker
210550000,Training,Tug
210564000,Test,Passenger
210774000,Training,Tug
210779000,Training,Supply
210786000,Test,Cargo/Tanker
210811000,Training,Supply
210814000,Training,Supply
210951000,Training,Tug
211118960,Training,Passenger
211131000,Training,Trawler
211140670,Training,Passenger
211141000,Training,Cargo/Tanker
211155000,Test,Trawler
