id,length,tonnage,engine_power,crew_size,label,split,idhash
100000296,,,,,gear,Test,5534722044421241303
100009581,,,,,gear,Test,-5911996029352310589
100010002,,,,,gear,Training,-8469098160976655669
100010222,,,,,gear,Test,-8469096160966655673
100011111,,,,,gear,Test,-7469090160954655555
100011686,,,,,gear,Test,-7469087160945655558
100020284,,,,,gear,Test,-3351165692599068828
100020973,,,,,gear,Test,-3351172692734069127
100040392,,,,,gear,Training,6209697644084172482
100042292,,,,,gear,Training,4209676644074172633
100083102,,,,,gear,Test,8777911390728207034
100102224,,,,,gear,Training,-625047915011604487
100120361,,,,,gear,Test,-8185889251679845959
100130664,,,,,gear,Training,5817891953453050432
100139828,,,,,gear,Test,-5628699119567500259
1001504,,,,,gear,Test,7361415939103272656
100166809,,,,,gear,Test,-7754118998427880558
100212102,,,,,gear,Training,2918207974009095878
100222225,,,,,gear,Training,7361162842575751063
100231301,,,,,gear,Training,-3642629362662145584
100323607,,,,,gear,Test,-5417036464036720921
100326221,,,,,gear,Training,8029702609775830860
100326554,,,,,gear,Test,8029705609758830811
100326626,,,,,gear,Test,8029706609767830791
100394607,,,,,gear,Test,-1091222429469174027
100422915,,,,,gear,Test,-7538847067952455381
100921562,,,,,gear,Training,-1837570114136207669
100921568,,,,,gear,Test,-1837570114136207679
100960277,,,,,gear,Test,-3512676714571139987
101001053,,,,,gear,Test,1011507040029241302
101010100,,,,,non_fishing,Training,-4431460828561413783
101015805,,,,,gear,Training,-1431440828522413794
101108204,,,,,gear,Test,8911205019413195772
101108207,,,,,gear,Training,8911205019413195775
101121011,,,,,non_fishing,Training,3903809609609403257
101205,,,,,fishing,Training,-5991414356293764759
101243584,,,,,gear,Training,8796093179062564871
101403319,,,,,gear,Test,83788643912744929
101611807,,,,,gear,Training,-6559828265713000954
101692222,,,,,gear,Training,3750455314703481994
10170072,,,,,gear,Training,1336383701673293228
10204619,,,,,gear,Training,-4283899741885675831
102129513,,,,,gear,Training,-5105045062241030447
1024559535,,,,,gear,Test,5219007109880110371
102701818,,,,,gear,Test,7079867651873283459
1056261,27.541484750000002,51.545,,12.0,passenger,Training,-2074169519612589848
106002233,,,,,gear,Training,5495304036594662392
106106113,,,,,gear,Training,595502056500706862
1062383,41.018565,439.0,,20.0,supply_vessel,Test,7043899949416997810
106606812,,,,,gear,Training,8589092223963855207
107000036,,,,,gear,Training,-5182461098164610972
107007911,,,,,gear,Training,-2182459098135610871
1073709206,32.574,674.0,,,other_not_fishing,Test,-262661255296475159
107502700,79.05199999999999,330.01,,,passenger,Test,-6055967384295878991
10882201,,,,,gear,Test,5753989453466201610
108881505,,,,,gear,Test,-1373454792535349153
10900999,,,,,gear,Training,-3388907872421718793
110000022,,,,,gear,Test,-356360568655218037
110000033,,,,,gear,Test,-356360568654218039
11002263,,,,,gear,Test,5733402514877068927
11005915,,,,,gear,Test,4733382514719068606
