mmsi,label,length,engine_power,tonnage,split,source
10201,unknown_fishing,,,,Training,Trawlers in central Pacific
10421670,drifting_longlines|purse_seines,,,,Training,KristinaManualClassification;clav_v10_processed;matched_mmsi_IATTC
111219507,unknown_not_fishing,,,,Training,verify5and24_20160502
111224509,unknown_not_fishing,,,,Training,verify5and24_20160502
122408213,purse_seines,,,,Test,NE_Pacific_Validation_Labels
123450020,purse_seines,,,,Test,KristinaManualClassification;NE_Pacific_Validation_Labels
123450800,purse_seines,,,,Training,KristinaManualClassification
12347,unknown_fishing,,,,Training,Trawlers in central Pacific
13060,unknown_fishing,,,,Training,Trawlers in central Pacific
150202717,cargo,,,,Training,Maybe Reefers
200001140,reefer,77.0,987.84,1588.0,Test,clav_v10_processed;matched_mmsi_IATTC;wcpfc
200001653,unknown_fishing,,,,Training,Problem Vessels 2
200008650,drifting_longlines,37.08,751.6,265.0,Training,NE_Pacific_Validation_Labels;clav_v10_processed;matched_mmsi_IATTC;wcpfc
201100153,purse_seines,34.8,,64.0,Test,clav_v10_processed
201851,drifting_longlines,33.9,810.0,271.0,Training,clav_v10_processed;wcpfc
203048100,motor_passenger,,,,Test,itu_2016_processed
203114200,motor_passenger,,,,Training,itu_2016_processed
203122200,motor_passenger,,,,Training,itu_2016_processed
203141400,motor_passenger,,,,Training,itu_2016_processed
203143300,motor_passenger,,,,Test,itu_2016_processed
203149300,motor_passenger,,,,Training,itu_2016_processed
203163100,motor_passenger,,,,Test,itu_2016_processed
203169300,motor_passenger,,,,Test,itu_2016_processed
203226200,passenger,,,,Training,KristinaManualClassification
203241100,motor_passenger,,,,Test,itu_2016_processed
203244200,motor_passenger,,,,Test,itu_2016_processed
203249200,motor_passenger,,,,Test,itu_2016_processed
203253400,motor_passenger,,,,Training,itu_2016_processed
203274400,motor_passenger,,,,Test,itu_2016_processed
203277400,motor_passenger,,,,Training,itu_2016_processed
203287200,motor_passenger,,,,Test,itu_2016_processed
203293400,motor_passenger,,,,Test,itu_2016_processed
203295400,motor_passenger,,,,Test,itu_2016_processed
203306100,motor_passenger,,,,Test,itu_2016_processed
203310200,passenger,,,,Training,AlexWManualNonFishing
203336400,motor_passenger,,,,Training,itu_2016_processed
203379400,motor_passenger,,,,Test,itu_2016_processed
203386400,motor_passenger,,,,Training,itu_2016_processed
203405200,motor_passenger,,,,Training,itu_2016_processed
203443400,motor_passenger,,,,Test,itu_2016_processed
203452400,motor_passenger,,,,Test,itu_2016_processed
203455200,motor_passenger,,,,Test,itu_2016_processed
203494200,motor_passenger,,,,Test,itu_2016_processed
203496400,motor_passenger,,,,Test,itu_2016_processed
203541100,motor_passenger,,,,Test,itu_2016_processed
203542100,motor_passenger,,,,Test,itu_2016_processed
203610200,motor_passenger,,,,Test,itu_2016_processed
203615200,motor_passenger,,,,Test,itu_2016_processed
203686200,motor_passenger,,,,Training,itu_2016_processed
203745200,passenger,,,,Training,KristinaManualClassification
203768200,motor_passenger,,,,Test,itu_2016_processed
203889200,motor_passenger,,,,Test,itu_2016_processed
203927000,motor_passenger,,,,Test,itu_2016_processed
203965100,motor_passenger,,,,Training,itu_2016_processed
203999329,unknown_not_fishing,,,,Training,rivervessels_20160502
203999351,passenger,,,,Training,verify5and24_20160502
203999358,unknown_not_fishing,,,,Training,verify5and24_20160502
203999394,passenger,,,,Training,verify5and24_20160502
203999396,passenger,,,,Training,rivervessels_20160502
203999399,passenger,,,,Training,rivervessels_20160502
204041000,set_gillnets,20.0,268.45,89.09,Training,eu_processed
204201240,pole_and_line,26.5,456.01,149.98,Test,eu_processed
204201270,set_longlines,15.0,172.84,51.72,Training,eu_processed
204201360,pots_and_traps|set_longlines,29.46,456.0,224.0,Training,eu_processed
204201560,pole_and_line,25.4,441.3,138.66,Test,clav_v10_processed;eu_processed
204202570,other_fishing|pole_and_line,9.15,66.19,5.53,Training,eu_processed
204202940,other_fishing|pole_and_line,11.95,95.61000000000001,13.09,Training,eu_processed
204203650,pole_and_line|set_longlines,15.35,264.77,42.22,Training,eu_processed
204203880,pole_and_line|set_longlines,9.0,132.39,4.58,Training,eu_processed
204204280,pole_and_line|set_longlines,13.5,114.74,19.81,Training,eu_processed
204204560,pole_and_line,9.65,132.39,8.279999999999998,Training,eu_processed
204204780,pole_and_line|set_longlines,15.35,220.65,40.0,Training,eu_processed
204205960,pole_and_line|pots_and_traps,8.98,74.0,4.78,Training,eu_processed
204206740,drifting_longlines|pole_and_line,20.0,224.0,77.39,Training,clav_v10_processed;double_geartype_override;eu_processed
204206750,drifting_longlines|pole_and_line,16.2,221.0,42.2,Training,eu_processed
204206760,pole_and_line|set_longlines,16.2,221.0,42.2,Training,eu_processed
204208790,pole_and_line,24.0,361.0,98.32,Test,clav_v10_processed;eu_processed
204209570,other_fishing|pole_and_line,25.0,221.0,148.42,Training,clav_v10_processed;double_geartype_override;eu_processed
204209840,pole_and_line,20.0,258.0,86.76999999999998,Training,clav_v10_processed;eu_processed
204209890,pole_and_line|set_longlines,16.1,125.0,52.24,Training,double_geartype_override;eu_processed
204209950,pole_and_line|set_longlines,19.9,258.0,88.01,Training,eu_processed
204209960,drifting_longlines|pole_and_line,20.0,190.0,86.64,Training,clav_v10_processed;eu_processed
204210770,pole_and_line,14.0,96.0,22.19,Test,eu_processed
