mmsi,fishing,label,sublabel,length,tonnage,list_sources
356,Non-fishing,Passenger,,,,five24
8396,Non-fishing,Tug/Pilot/Supply,Pilot,,,five24
9103568,Non-fishing,Cargo/Tanker,Cargo,,,five24
10421670,Fishing,Purse seines,,,,kristina
23361900,Fishing,,,26.609999999999999,235.0,eu
23509931,Fishing,Set gear,Set gillnets,11.890000000000001,24.23,eu
24466031,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
24593300,Fishing,Trawlers,,23.989999999999998,147.0,eu
25000116,Fishing,Trawlers,,11.960000000000001,22.510000000000002,eu
26103770,Fishing,Set gear,,17.260000000000002,36.0,eu
44710802,Non-fishing,Passenger,,,,five24
47795119,Non-fishing,Passenger,,,,five24
111100000,Non-fishing,Reefer,,,,reefer
111111110,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
123450020,Fishing,Purse seines,,,,kristina
123450800,Fishing,Purse seines,,,,kristina
200001140,Non-fishing,Reefer,,,,reefer
203058200,Non-fishing,Passenger,,,,itu_nonfishing
203116200,Non-fishing,Passenger,,,,itu_nonfishing
203169200,Non-fishing,Passenger,,,,itu_nonfishing
203170200,Non-fishing,Passenger,,,,itu_nonfishing
203174200,Non-fishing,Passenger,,,,itu_nonfishing
203178300,Non-fishing,Passenger,,,,itu_nonfishing
203183300,Non-fishing,Passenger,,,,itu_nonfishing
203188400,Non-fishing,Passenger,,,,itu_nonfishing
203191200,Non-fishing,Passenger,,,,itu_nonfishing
203197200,Non-fishing,Passenger,,,,itu_nonfishing
203199400,Non-fishing,Passenger,,,,itu_nonfishing
203204400,Non-fishing,Passenger,,,,itu_nonfishing
203208200,Non-fishing,Passenger,,,,itu_nonfishing
203220200,Non-fishing,Passenger,,,,itu_nonfishing
203224300,Non-fishing,Passenger,,,,itu_nonfishing
203226200,Non-fishing,Passenger,Sailing,,,kristina
203229100,Non-fishing,Passenger,,,,itu_nonfishing
203242100,Non-fishing,Passenger,,,,itu_nonfishing
203246400,Non-fishing,Passenger,,,,itu_nonfishing
203253400,Non-fishing,Passenger,,,,itu_nonfishing
203255100,Non-fishing,Passenger,,,,itu_nonfishing
203257100,Non-fishing,Passenger,,,,itu_nonfishing
203259100,Non-fishing,Passenger,,,,itu_nonfishing
203260100,Non-fishing,Passenger,,,,itu_nonfishing
203263100,Non-fishing,Passenger,,,,itu_nonfishing
203266400,Non-fishing,Passenger,,,,itu_nonfishing
203293400,Non-fishing,Passenger,,,,itu_nonfishing
203303100,Non-fishing,Passenger,,,,itu_nonfishing
203306100,Non-fishing,Passenger,,,,itu_nonfishing
203310200,Non-fishing,Passenger,,,,alex
203312200,Non-fishing,Passenger,,,,itu_nonfishing
203319300,Non-fishing,Passenger,,,,itu_nonfishing
203322100,Non-fishing,Passenger,,,,itu_nonfishing
203324300,Non-fishing,Passenger,,,,itu_nonfishing
203339100,Non-fishing,Passenger,,,,itu_nonfishing
203341100,Non-fishing,Passenger,,,,itu_nonfishing
203341300,Non-fishing,Passenger,,,,itu_nonfishing
203342300,Non-fishing,Passenger,,,,itu_nonfishing
203344300,Non-fishing,Passenger,,,,itu_nonfishing
203345300,Non-fishing,Passenger,,,,itu_nonfishing
203351300,Non-fishing,Passenger,,,,itu_nonfishing
203362400,Non-fishing,Passenger,,,,itu_nonfishing
203365300,Non-fishing,Passenger,,,,itu_nonfishing
203366300,Non-fishing,Passenger,,,,itu_nonfishing
203367300,Non-fishing,Passenger,,,,itu_nonfishing
203368300,Non-fishing,Passenger,,,,itu_nonfishing
203369300,Non-fishing,Passenger,,,,itu_nonfishing
203371300,Non-fishing,Passenger,,,,itu_nonfishing
203374300,Non-fishing,Passenger,,,,itu_nonfishing
203375300,Non-fishing,Passenger,,,,itu_nonfishing
203376300,Non-fishing,Passenger,,,,itu_nonfishing
203377300,Non-fishing,Passenger,,,,itu_nonfishing
203378200,Non-fishing,Passenger,,,,itu_nonfishing
203378300,Non-fishing,Passenger,,,,itu_nonfishing
203379300,Non-fishing,Passenger,,,,itu_nonfishing
203379400,Non-fishing,Passenger,,,,itu_nonfishing
203380100,Non-fishing,Passenger,,,,itu_nonfishing
203381300,Non-fishing,Passenger,,,,itu_nonfishing
203382300,Non-fishing,Passenger,,,,itu_nonfishing
203383300,Non-fishing,Passenger,,,,itu_nonfishing
203387300,Non-fishing,Passenger,,,,itu_nonfishing
203388300,Non-fishing,Passenger,,,,itu_nonfishing
203389300,Non-fishing,Passenger,,,,itu_nonfishing
203392200,Non-fishing,Passenger,,,,itu_nonfishing
203401300,Non-fishing,Passenger,,,,itu_nonfishing
203402300,Non-fishing,Passenger,,,,itu_nonfishing
203404300,Non-fishing,Passenger,,,,itu_nonfishing
203405300,Non-fishing,Passenger,,,,itu_nonfishing
203406300,Non-fishing,Passenger,,,,itu_nonfishing
203408300,Non-fishing,Passenger,,,,itu_nonfishing
203409300,Non-fishing,Passenger,,,,itu_nonfishing
203411300,Non-fishing,Passenger,,,,itu_nonfishing
203421300,Non-fishing,Passenger,,,,itu_nonfishing
203422300,Non-fishing,Passenger,,,,itu_nonfishing
203425300,Non-fishing,Passenger,,,,itu_nonfishing
203428300,Non-fishing,Passenger,,,,itu_nonfishing
203429300,Non-fishing,Passenger,,,,itu_nonfishing
203431300,Non-fishing,Passenger,,,,itu_nonfishing
203432300,Non-fishing,Passenger,,,,itu_nonfishing
203433300,Non-fishing,Passenger,,,,itu_nonfishing
203434300,Non-fishing,Passenger,,,,itu_nonfishing
203435300,Non-fishing,Passenger,,,,itu_nonfishing
203437300,Non-fishing,Passenger,,,,itu_nonfishing
203439300,Non-fishing,Passenger,,,,itu_nonfishing
